time (S),CH0 Horizonal angles,CH0 Vertical angles,CH1 Horizonal angles,CH1 Vertical angles,CH2 Horizonal angles,CH2 Vertical angles,CH3 Horizonal angles,CH3 Vertical angles
0.000054369,-61.51239052,-9.859479955,-60.94860276,-8.796228587,-60.38804522,-7.732143656,-59.83030883,-6.667331255
0.000058252,-61.32006686,-9.899290583,-60.75775806,-8.835244131,-60.19868789,-7.770364947,-59.64244754,-6.704758681
0.000062136,-61.12767732,-9.938986932,-60.56685015,-8.874146928,-60.00926989,-7.80847507,-59.45452799,-6.742076563
0.000066019,-60.935222,-9.978568828,-60.37587912,-8.912936814,-59.81979131,-7.84647387,-59.26655028,-6.779284752
0.000069903,-60.74270098,-10.0180361,-60.18484506,-8.951613626,-59.63025225,-7.884361189,-59.07851451,-6.816383099
0.000073786,-60.55011436,-10.05738858,-59.99374807,-8.990177199,-59.4406528,-7.922136871,-58.89042078,-6.853371455
0.00007767,-60.35746224,-10.09662609,-59.80258825,-9.028627371,-59.25099306,-7.959800761,-58.70226918,-6.890249672
0.000081553,-60.16474471,-10.13574846,-59.6113657,-9.066963977,-59.06127314,-7.997352703,-58.51405983,-6.927017602
0.000085437,-59.97196187,-10.17475552,-59.42008052,-9.105186855,-58.87149314,-8.034792541,-58.32579281,-6.963675095
0.00008932,-59.77911382,-10.2136471,-59.2287328,-9.143295842,-58.68165315,-8.07212012,-58.13746824,-7.000222004
0.000093204,-59.58620066,-10.25242303,-59.03732266,-9.181290775,-58.49175328,-8.109335285,-57.94908621,-7.036658181
0.000097087,-59.39322248,-10.29108315,-58.84585018,-9.219171491,-58.30179363,-8.14643788,-57.76064684,-7.072983478
0.000100971,-59.2001794,-10.32962727,-58.65431547,-9.256937829,-58.11177431,-8.183427752,-57.57215022,-7.109197748
0.000104854,-59.00707151,-10.36805523,-58.46271865,-9.294589625,-57.92169542,-8.220304745,-57.38359646,-7.145300844
0.000108738,-58.81389891,-10.40636685,-58.2710598,-9.332126719,-57.73155707,-8.257068706,-57.19498568,-7.181292618
0.000112621,-58.62066172,-10.44456198,-58.07933904,-9.369548948,-57.54135936,-8.293719479,-57.00631796,-7.217172925
0.000116505,-58.42736003,-10.48264044,-57.88755648,-9.406856151,-57.35110241,-8.330256912,-56.81759344,-7.252941616
0.000120388,-58.23399396,-10.52060206,-57.69571222,-9.444048166,-57.16078631,-8.36668085,-56.62881221,-7.288598547
0.000124272,-58.0405636,-10.55844667,-57.50380637,-9.481124833,-56.97041119,-8.40299114,-56.43997438,-7.32414357
